ID,year,age,birthplace,residence,arrests,convictions,prison,music,rank,rankrev,core
1,1989,20,West Africa,0,16,4,1,1,1,5,1
2,1989,20,Caribbean,0,16,7,1,0,2,4,1
3,1990,19,Caribbean,0,12,4,1,0,2,4,1
4,1988,21,Caribbean,0,8,1,0,0,2,4,1
5,1985,24,Caribbean,0,11,3,0,0,2,4,1
6,1984,25,UK,1,17,10,0,0,2,4,1
7,1989,20,East Africa,1,8,1,0,1,2,4,1
8,1988,21,West Africa,0,15,6,1,1,3,3,1
9,1989,20,West Africa,1,9,3,0,0,3,3,1
10,1986,23,West Africa,1,12,4,1,1,3,3,1
11,1988,21,West Africa,0,16,8,1,0,3,3,1
12,1984,25,UK,0,5,3,0,1,3,3,1
13,1988,21,UK,0,19,9,1,0,3,3,1
14,1990,19,UK,0,23,9,0,1,3,3,1
15,1988,21,UK,0,12,9,1,0,4,2,1
16,1990,19,UK,0,14,7,1,0,4,2,1
17,1982,27,Caribbean,0,14,8,0,0,4,2,1
18,1984,25,Caribbean,0,23,13,1,0,3,3,1
19,1989,20,Caribbean,1,22,9,1,0,3,3,1
20,1989,20,West Africa,1,8,2,0,0,3,3,1
21,1986,23,West Africa,0,4,5,0,1,4,2,1
22,1989,20,West Africa,0,5,2,0,1,3,3,1
23,1990,19,East Africa,0,19,9,1,0,3,3,1
24,1993,16,East Africa,0,0,0,0,0,4,2,1
25,1992,17,East Africa,0,8,2,1,0,4,2,1
26,1991,18,East Africa,0,0,0,0,0,4,2,1
27,1992,17,UK,0,3,1,0,1,4,2,1
28,1987,22,UK,1,2,0,1,0,3,3,1
29,1991,18,Caribbean,1,7,3,1,0,3,3,1
30,1990,19,Caribbean,1,6,3,1,0,3,3,1
31,1992,17,West Africa,0,12,4,0,0,4,2,1
32,1993,16,West Africa,0,13,3,0,0,4,2,1
33,1991,18,UK,1,15,6,0,0,4,2,1
34,1992,17,UK,1,2,1,1,0,4,2,1
35,1991,18,UK,1,7,3,0,0,4,2,1
36,1992,17,UK,1,7,2,1,0,4,2,1
37,1992,17,UK,0,6,1,0,0,4,2,1
38,1989,20,Caribbean,0,6,2,0,0,4,2,1
39,1987,22,UK,1,4,3,0,0,4,2,1
40,1986,23,West Africa,1,18,12,1,0,4,2,1
41,1990,19,Caribbean,1,8,1,0,0,4,2,1
42,1991,18,UK,0,7,4,0,0,4,2,1
43,1991,18,UK,1,6,0,0,0,4,2,1
44,1993,18,UK,1,7,1,0,0,4,2,1
45,1990,19,UK,0,23,11,1,0,4,2,1
46,1991,18,UK,0,5,2,1,0,4,2,1
47,1993,16,UK,1,1,0,0,0,4,2,1
48,1989,20,UK,1,12,9,1,0,4,2,1
49,1990,19,Caribbean,0,3,0,0,0,4,2,1
50,1990,19,West Africa,0,3,1,0,0,5,1,1
51,1992,17,UK,0,4,1,0,0,4,2,1
52,1991,18,UK,0,1,0,0,0,5,1,1
53,1982,27,East Africa,0,20,11,1,0,4,2,1
54,1989,20,UK,0,11,4,1,0,3,3,1
